Week,Activity Week Label,Activity Desc,Activity Name,Activity Type,Activity Type Name,Location Name,Start Date Time,End Date Time,Day,Staff
32,,MA36010 LECTURE 2,MA36010/L/2/01,Lecture,LECTURE,LL-C63,03/04/2025 @ 15:00:00,03/04/2025 @ 16:00:00,Thursday,"Kiukas, Jukka"
32,,,"MA25220/P/2/01, MT25220/P/2/01",Practical,PRACTICAL,MP-3.03,03/04/2025 @ 15:00:00,03/04/2025 @ 17:00:00,Thursday,"Davies, Tudur"
32,,,"MA11310/L/2/01, MT11310/L/2/01",Lecture,LECTURE,EL-0.01,03/04/2025 @ 17:00:00,03/04/2025 @ 18:00:00,Thursday,"Kiukas, Jukka"
32,,,"MA37010/L/1/01, MAM7020/L/1/01",Lecture,LECTURE,EL-0.26,03/04/2025 @ 17:00:00,03/04/2025 @ 18:00:00,Thursday,"Douglas, Robert"
32,,MA11210 TUTORIAL 1,MA11210/T/1/01,Tutorial,TUTORIAL,MP-3.05,04/04/2025 @ 09:00:00,04/04/2025 @ 10:00:00,Friday,"Bufton, Zac"
32,,MA25710 LECTURE 1,MA25710/L/1/01,Lecture,LECTURE,EL-1.16,04/04/2025 @ 11:00:00,04/04/2025 @ 12:00:00,Friday,"Mughal, Adil"
32,,,"MA11110/L/1/01, MT11110/L/1/01",Lecture,LECTURE,EL-0.26,04/04/2025 @ 11:00:00,04/04/2025 @ 12:00:00,Friday,"Douglas, Robert"
32,,,"MA32410/L/1/01, MT32410/L/1/01",Lecture,LECTURE,LL-C64,04/04/2025 @ 11:00:00,04/04/2025 @ 12:00:00,Friday,"Evans, Gwion"
32,,MA11210 TUTORIAL 1,MA11210/T/1/02,Tutorial,TUTORIAL,MP-3.05,04/04/2025 @ 12:00:00,04/04/2025 @ 13:00:00,Friday,"Bufton, Zac"
32,,MA11210 TUTORIAL 1,MA11210/T/1/03,Tutorial,TUTORIAL,MP-3.05,04/04/2025 @ 13:00:00,04/04/2025 @ 14:00:00,Friday,"Bufton, Zac"
32,,MAM5220 PRACTICAL 2,MAM5220/P/2/01,Practical,PRACTICAL,MP-3.03,04/04/2025 @ 13:00:00,04/04/2025 @ 15:00:00,Friday,"Kenobi, Kim"
32,,MAM7020 LECTURE 3,MAM7020/L/3/01,Lecture,LECTURE,LL-C40,04/04/2025 @ 13:00:00,04/04/2025 @ 14:00:00,Friday,"Douglas, Robert"
32,,MT11210 TUTORIAL 1,MT11210/T/1/01,Tutorial,TUTORIAL,EL-3.34,04/04/2025 @ 13:00:00,04/04/2025 @ 14:00:00,Friday,"Evans, Gwion"
32,,MA11210 TUTORIAL 1,MA11210/T/1/04,Tutorial,TUTORIAL,MP-3.05,04/04/2025 @ 14:00:00,04/04/2025 @ 15:00:00,Friday,"Vellender, Adam"
32,,,"MA21410/L/3/01, MT21410/L/3/01",Lecture,LECTURE,LL-A6,04/04/2025 @ 14:00:00,04/04/2025 @ 15:00:00,Friday,"Douglas, Robert"
32,,MA00910 LECTURE 1,MA00910/L/1/01,Lecture,LECTURE,LL-C64,04/04/2025 @ 15:00:00,04/04/2025 @ 16:00:00,Friday,"Pitchford, Alexander"
32,,MA36010 LECTURE 1,MA36010/L/1/01,Lecture,LECTURE,MP-3.02,04/04/2025 @ 16:00:00,04/04/2025 @ 17:00:00,Friday,"Kiukas, Jukka"
32,,,"MA10720/P/2/01, MT10720/P/2/01",Practical,PRACTICAL,MP-2.00,04/04/2025 @ 16:00:00,04/04/2025 @ 18:00:00,Friday,"Cox, Simon"
32,,,"MA34210/L/2/01, MT34210/L/2/01",Lecture,LECTURE,MP-0.10,04/04/2025 @ 17:00:00,04/04/2025 @ 18:00:00,Friday,"Vellender, Adam"
